blind_id,first_gaze_s,gaze_to_stimulus_latency_s,precue_fixation_0_1,offroad_dwell_total_s,longest_offroad_dwell_s,apparent_lean_in_0_1,approach_to_board_0_3,line_departure_0_2,notes,set,pid,route,event,qtype,target,strategy,collision,flag5s,start_s,content_end_s,cue_s,ans_s,collision_s,fg_raw,lat_entered,GLITCH,latency_s,precue_fixation_0_1_n,apparent_lean_in_0_1_n,approach_to_board_0_3_n,line_departure_0_2_n,no_acquisition,approach,lean,linedep,dualzoom,visualID,folder,imu_rows,has_imu,roll_p95,pitch_p95,transl_p95,resting_lin
CLIP_5887CF,3.957,,0.0,,,0.0,0.0,1.0,slowed down to see the squirrel and take the bend,B,10_RT,2,Q3,Animal,Squirrel,Not_Applicable,0,0,46.54,52.68,48.54,51.68,,3.957,,False,1.957,0.0,0.0,0.0,1.0,False,0.0,0.0,1.0,0.0,True,R2_10,0,False,,,,
CLIP_58AE3C,,,0.0,,,0.0,0.0,0.0,Name from working memory,C,17_RT,2,Q1,Name,Name1,Working_Memory,0,0,17.74,23.15,19.74,22.15,,,,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,R2_17,27514,True,1.6747758121833778,15.950172817992078,0.07737337030129576,0.00864781819832778
CLIP_58B634,2.968,,0.0,,,0.0,1.0,1.0,Slowed down to see the rabbit,D,19_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,10.66,15.95,12.66,14.95,,2.968,,False,0.968,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True,R3_19,15814,True,10.093183613554942,21.013825595709278,0.11984358098933431,0.012788424752745697
CLIP_5BE5A5,"4,284",,0.0,,,0.0,0.0,0.0,,D,36_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,194.67,200.97,196.67,199.97,,4.284,,False,2.284,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_36,51737,True,3.351856303729229,6.987926281570586,0.09214756917380745,0.02393063213173003
CLIP_5C89DD,3.986,,1.0,,,0.0,0.0,0.0,,D,12_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,36.9,41.67,38.9,40.67,,3.986,,False,1.986,1.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,True,R3_12,21078,True,4.227258408163842,0.7913822943314327,0.018609876701420783,0.012267483395930878
CLIP_5FFAB8,,,0.0,,,0.0,0.0,0.0,Name from working memory,C,12_RT,2,Q1,Name,Name1,Working_Memory,0,0,11.05,15.45,13.05,14.45,,,,False,,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,0.0,False,R2_12,20182,True,0.7778745763971369,3.11837549960043,0.013613565094670751,0.01629362133284485
CLIP_60EEE0,,,0.0,,,0.0,0.0,1.0,"Looked at wrong stimuli, and the effort made them veer off track",A,36_RT,2,Q3,Animal,Squirrel,Not_Applicable,1,1,33.91,38.86,35.91,37.86,41.22,,,False,,0.0,0.0,0.0,1.0,True,0.0,0.0,1.0,0.0,True,R2_36,15355,True,3.684504952639756,3.634450423886392,0.10299332303452965,0.02820865867069444
CLIP_650CB5,4.284,,0.0,,,1.0,0.0,0.0,Leaned a bit left to read the Markings sign,D,06_RT,3,Q3,Sign,Markings,Not_Applicable,0,0,115.56,121.47,117.56,120.47,,4.284,,False,2.284,0.0,1.0,0.0,0.0,False,0.0,1.0,0.0,0.0,True,R3_06,35130,True,1.2776524354910577,22.895097279921842,0.011533009291011373,0.013311312854630367
CLIP_65BE59,2.845,,0.0,,,1.0,1.0,1.0,slowed down to see the rabbit,D,16_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,2.15,8.65,4.15,7.65,,2.845,,False,0.8450000000000002,0.0,1.0,1.0,1.0,False,1.0,1.0,1.0,1.0,True,R3_16,10909,True,1.4252083833508318,4.583027396758128,0.035593957801903435,0.014422663912498784
CLIP_667750,5.714,,0.0,,,0.0,1.0,1.0,came to a crawl to see the rabbit,D,02_RT,3,Q1,Animal,Rabbit,Not_Applicable,0,0,14.93,23.36,16.93,22.36,,5.714,,False,3.714,0.0,0.0,1.0,1.0,False,1.0,0.0,1.0,0.0,True,R3_02,25738,True,3.444480209678588,10.052405121488846,0.05766846424555789,0.011317451580076302
